Frame,X,Y,Visibility,L,Theta
230,706,321,1,2.278219550848007,37.981878266036766
231,704,321,1,2.909295380115509,-34.695153530791394
232,701,323,1,2.5,90.0
233,700,326,1,2.5,90.0
234,698,330,1,2.918536067008972,-64.19758225198474
235,696,335,1,2.914320021867752,60.64980066765095
236,694,334,1,3.034516852349043,5.612080206073451
237,692,330,1,2.775253541767597,-76.87841591953762
238,690,328,1,2.4748736917972565,45.00000000024221
239,688,326,1,2.8284270763397217,44.999999998132374
240,686,327,1,2.5,2.9181716425782814e-09
241,684,330,1,2.914320021867752,29.350199332913956
242,682,333,1,2.5,90.0
243,680,338,1,2.8284270763397217,-44.99999999979242
244,677,339,1,2.802662193775177,69.1026079654967
245,675,336,1,2.8284270763397217,44.99999999979242
246,674,333,1,2.5,90.0
247,672,333,1,2.5,89.99999999969829
248,669,333,1,3.161456048488617,19.741010947208032
249,669,333,1,2.5,90.0
250,667,336,1,2.5,90.0
251,665,339,1,2.765263795852661,12.491578503622247
252,663,344,1,2.5,0.0
253,661,341,1,2.914320021867752,-29.350199333196407
254,659,339,1,2.8284270763397217,-44.99999999979242
255,657,338,1,2.877847522497177,68.25152146042008
256,654,338,1,2.914320021867752,60.6498006674295
257,652,339,1,2.5,90.0
258,0,0,0,-inf,-inf
259,375,645,1,8.076572120189667,-20.82426583089624
260,0,0,0,-inf,-inf
261,663,330,1,2.491039663553238,-45.88940015788031
262,670,323,1,2.765263795852661,-77.50842149658115
263,677,318,1,2.905406415462494,-54.272886121225596
264,684,314,1,2.2360678911209106,-63.43494882393841
265,0,0,0,-inf,-inf
266,0,0,0,-inf,-inf
267,0,0,0,-inf,-inf
268,382,645,1,1.0,0.0
269,0,0,0,-inf,-inf
270,0,0,0,-inf,-inf
271,383,642,1,4.111119389533997,-18.406098994054457
272,0,0,0,-inf,-inf
273,0,0,0,-inf,-inf
274,375,645,1,8.075429946184158,-20.42906700802002
275,0,0,0,-inf,-inf
276,0,0,0,-inf,-inf
277,375,645,1,8.072365701198578,-19.709979631162707
278,0,0,0,-inf,-inf
279,0,0,0,-inf,-inf
280,398,636,1,16.988843023777008,-21.631237268293898
281,0,0,0,-inf,-inf
282,0,0,0,-inf,-inf
283,400,635,1,19.313110530376434,-21.069040003000598
284,0,0,0,-inf,-inf
285,0,0,0,-inf,-inf
286,401,635,1,19.3132002055645,-21.19696319488563
287,0,0,0,-inf,-inf
288,0,0,0,-inf,-inf
289,400,635,1,19.31320783495903,-21.22646641830128
290,0,0,0,-inf,-inf
291,0,0,0,-inf,-inf
292,398,636,1,17.453816831111908,-21.648812793551755
293,0,0,0,-inf,-inf
294,0,0,0,-inf,-inf
295,400,635,1,19.313204914331436,-21.21358441936457
296,0,0,0,-inf,-inf
297,841,316,1,3.872474193572998,-14.50664549635892
298,841,309,1,4.112663596868515,9.957643529681238
299,874,312,1,4.553552895784378,-21.486242264593546
300,817,262,1,0.0,0.0
301,0,0,0,-inf,-inf
302,0,0,0,-inf,-inf
303,849,235,1,2.914320021867752,60.64980066772157
304,851,220,1,2.5,0.0
305,853,205,1,2.614849090576172,8.000511426910627
306,855,198,1,2.9065441489219666,-54.550222686129885
307,859,181,1,2.914320021867752,60.64980066772157
308,861,170,1,2.8284270763397217,44.9999999904284
309,864,161,1,2.636432468891144,33.52295672922944
310,866,153,1,2.6818734407424927,63.08681452260068
311,868,148,1,2.914320021867752,-29.350199331890064
312,870,143,1,2.643728584051132,79.1296104726599
313,872,138,1,2.5,90.0
314,874,136,1,2.636432468891144,56.477043266482106
315,875,136,1,2.604815699160099,-7.132256149112337
316,878,137,1,2.633193239569664,-9.745265253793006
317,880,140,1,2.828427314758301,-45.00000000121833
318,881,144,1,2.5,0.0
319,882,149,1,2.643728584051132,79.12961047288057
320,883,154,1,2.5,0.0
321,884,163,1,2.8284270763397217,44.9999999904284
322,884,166,1,2.5,90.0
323,885,171,1,2.5,90.0
324,886,181,1,2.5,90.0
325,887,191,1,2.5,90.0
326,887,198,1,2.643728584051132,79.12961047288057
327,889,216,1,2.606141820549965,-82.75589838597563
328,889,230,1,2.549988627433777,86.92864092377181
329,890,237,1,2.0,90.0
330,0,0,0,-inf,-inf
331,383,642,1,1.7857159078121185,-41.578613293956096
332,0,0,0,-inf,-inf
333,870,305,1,3.161456048488617,-19.741010946944954
334,847,316,1,3.194964677095413,-34.980885556114195
335,831,324,1,3.154093325138092,-28.78116027084636
336,823,329,1,2.636432468891144,-56.47704326863723
337,808,323,1,2.877803713083267,40.184415103277075
338,794,318,1,2.8284270763397217,44.99999999979242
339,786,315,1,2.914320021867752,29.350199333055183
340,771,312,1,3.0421741902828217,20.50454345078511
341,757,310,1,3.1470471918582916,12.809335958669259
342,741,310,1,2.765263795852661,12.491578503918312
343,726,310,1,3.1038026064634323,-7.39936990163274
344,711,313,1,3.1112695783376694,-8.130102354618218
345,695,317,1,3.0,0.0
346,680,322,1,3.298255518078804,-16.094944409157165
347,666,327,1,3.1563744843006134,-14.933458425693756
348,643,339,1,2.8284270763397217,45.00000000020758
349,629,333,1,3.3436555713415146,22.041888416952954
350,611,324,1,3.154093325138092,28.78116027084636
351,597,322,1,2.6913780570030212,-20.08765578421536
352,582,321,1,2.108684726059437,7.132256149267514
353,576,326,1,3.1406462490558624,11.729512040188508
354,592,310,1,3.346762865781784,-22.774071676790786
355,611,302,1,3.430746078491211,-11.416827088958772
356,620,300,1,3.3264110684394836,-19.197582251607
357,638,295,1,2.8284270763397217,-45.00000000020758
358,655,292,1,3.0717720836400986,-4.693988257509763
359,670,290,1,3.161456048488617,-19.741010947091592
360,685,290,1,2.765263795852661,-12.491578503387961
361,698,290,1,2.698938988149166,-8.74221366135999
362,705,291,1,2.5,90.0
363,725,294,1,2.828427314758301,0.0
364,731,296,1,2.915475994348526,30.96375653207352
365,742,299,1,3.0368667729198933,6.3401917461135975
366,748,302,1,2.765263795852661,12.491578503918312
367,759,307,1,2.765263795852661,12.491578503918312
368,769,313,1,2.9065441489219666,35.44977731375569
369,779,320,1,2.664202243089676,59.87244064873315
370,788,318,1,2.8248110711574554,-73.36255600769933
371,796,311,1,2.877803713083267,-40.1844151033483
372,0,0,0,-inf,-inf
373,0,0,0,-inf,-inf
374,582,461,1,4.434660494327545,-19.142436972147237
375,785,291,1,2.877803713083267,40.1844151033483
376,763,286,1,2.915475994348526,30.96375653207352
377,756,285,1,3.0,0.0
378,741,283,1,2.909295380115509,34.6951535307001
379,727,282,1,3.0455352552235126,-2.8179703491467225
380,704,284,1,3.0,0.0
381,689,287,1,2.765263795852661,-12.491578503498689
382,675,290,1,2.9065441489219666,-35.44977731436601
383,667,293,1,2.914294123649597,-32.59529581208347
384,660,295,1,3.1352707147598267,-26.979958407428978
385,637,305,1,3.276945859193802,-38.878256973345685
386,623,312,1,3.6123240292072296,-23.022273921773483
387,607,321,1,3.336067110300064,-32.509380196891975
388,591,332,1,3.523508608341217,-40.27299799724763
389,577,341,1,3.1470471918582916,-12.809335958968179
390,563,335,1,2.5,-7.551064088276915e-10
391,559,325,1,1.7084192335605621,-74.92930722364115
392,566,319,1,3.596752643585205,-29.686534308997853
393,598,312,1,3.480582356452942,-18.560897966404713
394,629,309,1,4.12465300783515,-5.463883442271744
395,642,307,1,4.0,0.0
396,670,308,1,3.6356887221336365,-13.138928346342986
397,682,308,1,3.1470471918582916,-12.809335958825132
398,708,310,1,3.0241451542824507,-3.3595807669127113
399,730,315,1,2.5153354704380035,20.701641461405313
400,0,0,0,-inf,-inf
401,770,327,1,2.765263795852661,12.491578503622247
402,0,0,0,-inf,-inf
403,807,317,1,2.9897653460502625,-37.44757544362524
404,824,311,1,3.353900447487831,-27.193136319275435
405,841,306,1,3.1996710002422333,-40.62917070722977
406,856,304,1,3.039918027818203,-11.239717198085506
407,870,303,1,3.137520506978035,-11.26081561692547
408,0,0,0,-inf,-inf
409,0,0,0,-inf,-inf
410,0,0,0,-inf,-inf
411,920,317,1,3.0403998121619225,8.006620835659717
412,931,323,1,2.496719151735306,39.805571091834985
413,941,331,1,2.8284270763397217,0.0
414,951,341,1,3.1981379985809326,48.690040111960535
415,960,349,1,2.9065441489219666,54.550222686015445
416,968,360,1,2.5,5.836343285007935e-09
417,976,371,1,2.461114674806595,63.558430340914065
418,983,384,1,2.5466241762042046,-14.036243468411158
419,993,382,1,2.8995507806539536,-24.972433145993474
420,1002,372,1,2.915472000837326,-58.943150565757875
421,1009,367,1,2.1920036673545837,-74.82837555824446
422,1016,360,1,2.6906040012836456,-19.604883996080236
423,0,0,0,-inf,-inf
424,0,0,0,-inf,-inf
425,0,0,0,-inf,-inf
426,0,0,0,-inf,-inf
427,0,0,0,-inf,-inf
428,0,0,0,-inf,-inf
429,1067,342,1,0.0,0.0
430,1080,347,1,1.0,90.0
431,1083,350,1,2.5359807945787907,84.59528482526588
432,0,0,0,-inf,-inf
433,380,645,1,0.0,0.0
434,0,0,0,-inf,-inf
435,0,0,0,-inf,-inf
436,380,645,1,0.0,0.0
437,0,0,0,-inf,-inf
438,0,0,0,-inf,-inf
439,380,645,1,0.0,0.0
440,0,0,0,-inf,-inf
441,1137,360,1,0.0,0.0
442,1141,360,1,0.5,0.0
443,1146,360,1,1.5,0.0
444,0,0,0,-inf,-inf
445,384,642,1,1.7787750959396362,-43.04975312890165
446,0,0,0,-inf,-inf
447,0,0,0,-inf,-inf
448,380,645,1,0.0,0.0
449,0,0,0,-inf,-inf
450,0,0,0,-inf,-inf
451,385,642,1,3.1453761011362076,-12.50844673904494
452,0,0,0,-inf,-inf
453,0,0,0,-inf,-inf
454,384,642,1,2.6925801038742065,-21.725921150513695
455,0,0,0,-inf,-inf
456,0,0,0,-inf,-inf
457,0,0,0,-inf,-inf
458,0,0,0,-inf,-inf
459,953,377,1,1.5,0.0
460,0,0,0,-inf,-inf
461,0,0,0,-inf,-inf
462,0,0,0,-inf,-inf
463,380,645,1,0.0,0.0
464,0,0,0,-inf,-inf
465,919,383,1,2.6864466667175293,-64.32990412704505
466,909,379,1,3.349737212061882,66.35820445940809
467,896,374,1,2.9981807470321655,88.0045434505549
468,895,376,1,2.541662983596325,6.81349743057055
469,885,374,1,2.6879361271858215,-18.434948823655724
470,0,0,0,-inf,-inf
471,0,0,0,-inf,-inf
472,420,627,1,8.074830561876297,-20.26151772701871
473,0,0,0,-inf,-inf
474,0,0,0,-inf,-inf
475,385,642,1,3.1453761011362076,-12.50844673904494
476,0,0,0,-inf,-inf
477,0,0,0,-inf,-inf
478,398,636,1,16.985038191080093,-21.36929251945389
479,0,0,0,-inf,-inf
480,0,0,0,-inf,-inf
481,398,636,1,16.987434685230255,-21.531480771459414
482,475,440,1,0.0,0.0
483,0,0,0,-inf,-inf
484,398,636,1,16.987090975046158,-21.507680237725896
485,475,440,1,1.1067972034215927,18.43494882292201
486,0,0,0,-inf,-inf
487,427,625,1,5.13878969848156,-25.661275710134184
488,0,0,0,-inf,-inf
489,0,0,0,-inf,-inf
490,380,645,1,0.0,0.0
491,0,0,0,-inf,-inf
492,0,0,0,-inf,-inf
493,384,642,1,1.7787750959396362,-43.04975312890165
494,0,0,0,-inf,-inf
495,0,0,0,-inf,-inf
496,385,641,1,3.1614899337291718,-17.156073546491047
497,0,0,0,-inf,-inf
498,0,0,0,-inf,-inf
499,383,642,1,1.7857159078121185,-41.578613293956096
500,0,0,0,-inf,-inf
501,555,260,1,0.0,0.0
502,0,0,0,-inf,-inf
503,0,0,0,-inf,-inf
504,543,228,1,2.5,90.0
505,540,220,1,3.1912746727466583,55.934577490899436
506,538,214,1,2.912745788693428,61.51607723892622
507,535,210,1,2.2360678911209106,-63.43494882292201
508,531,207,1,2.1920036673545837,-74.82837555800582
509,528,205,1,2.668762981891632,-29.42817575079946
510,528,205,1,2.8284270763397217,-44.999999998132374
511,524,206,1,2.5,90.0
512,522,208,1,2.5,90.0
513,519,213,1,2.5,90.0
514,517,218,1,2.877847522497177,-68.25152146073239
515,514,225,1,2.6000442504882812,85.93494882255723
516,511,235,1,2.5,90.0
517,508,245,1,2.8284270763397217,-45.00000000020758
518,506,256,1,3.040802091360092,79.41937009164158
519,0,0,0,-inf,-inf
520,501,285,1,2.6872681379318237,-64.59821225217134
521,498,301,1,2.9154761135578156,-59.03624346740106
522,506,314,1,3.008282874710858,-0.480624192913298
523,528,319,1,3.6399357318878174,15.481878266068653
524,549,325,1,3.162277489900589,18.462376186421057
525,568,333,1,3.181980460882187,44.999999999960366
526,586,339,1,2.5,0.0
527,595,335,1,2.8284270763397217,-45.00000000020758
528,611,326,1,3.5117143392562866,-38.34541065244738
529,632,316,1,3.353900447487831,-27.19313631904558
530,647,311,1,3.1470471918582916,-12.809335958747194
531,661,308,1,2.5,0.0
532,673,306,1,2.9109716415405273,-34.14900646814276
533,685,305,1,2.606141820549965,-7.244101614255039
534,692,305,1,3.3436555713415146,22.041888416952954
535,703,307,1,2.877847522497177,21.74847853938124
536,719,310,1,3.1278167068958282,9.968582887949916
537,731,315,1,2.0,90.0
538,742,319,1,1.4142136573791504,0.0
539,751,324,1,2.5,0.0
540,762,321,1,2.5153354704380035,69.29835853823293
541,769,316,1,2.881548434495926,-50.28676170918088
542,777,311,1,2.6912843883037567,-66.41946025607206
543,785,308,1,2.5405655801296234,73.88936659381146
544,790,307,1,2.474873900413513,-45.000000001091834
545,797,305,1,3.027741864323616,-75.10936444140944
546,796,302,1,3.353900447487831,62.806863680928885
547,788,302,1,2.5,0.0
548,777,301,1,3.103541001677513,7.374659156935063
549,762,299,1,2.9624142348766327,-22.54719582163463
550,741,299,1,3.0481372885406017,2.9940741879690194
551,728,300,1,3.509895863942802,-1.2258497880055779
552,713,302,1,2.877847522497177,-21.748478539102038
553,698,306,1,2.915475994348526,-30.96375653207352
554,684,311,1,3.1112695783376694,-8.130102354618218
555,669,316,1,3.1948772370815277,-42.36305202146353
556,655,323,1,3.598748505115509,-30.16983593991864
557,647,327,1,3.197959214448929,-48.62168048041327
558,632,336,1,3.160614162683487,-20.2935289502406
559,611,336,1,3.15752637386322,21.576194867172394
560,599,331,1,3.1596384942531586,16.09400970472253
561,587,328,1,2.5669151470065117,85.77248616037447
562,592,321,1,2.905406415462494,-54.27288612159829
563,609,309,1,2.877847522497177,-21.74847853938124
564,625,301,1,3.1868845224380493,-44.14826919495213
565,639,294,1,3.58486670255661,-27.549819152427585
566,652,289,1,3.1553068459033966,-22.239909573923974
567,659,287,1,3.161924660205841,-19.29115150967112
568,677,282,1,3.0717720836400986,-4.693988257509763
569,689,281,1,3.039918027818203,-11.239717198432057
570,701,282,1,2.765263795852661,-12.491578503622247
571,711,282,1,2.5,0.0
572,719,284,1,3.0122894644737244,17.39342668839049
573,729,287,1,2.907149165868759,35.29507100912654
574,738,291,1,2.9153226613998413,31.551080020718157
575,745,295,1,2.4748736917972565,45.00000000012111
576,750,298,1,2.8284270763397217,44.99999999979242
577,757,304,1,2.7424442768096924,59.16372110036925
578,764,310,1,2.877847522497177,21.74847853938124
579,771,316,1,3.037837989628315,-77.77173051907795
580,776,308,1,2.5,90.0
581,782,301,1,3.2014961540699005,-50.972088594223166
582,787,295,1,2.877847522497177,-68.25152146069928
583,793,291,1,2.664137437939644,-76.53422814873441
584,797,288,1,2.8840060383081436,-67.46225576646881
585,0,0,0,-inf,-inf
586,0,0,0,-inf,-inf
587,0,0,0,-inf,-inf
588,0,0,0,-inf,-inf
589,0,0,0,-inf,-inf
590,891,387,1,0.5,0.0
591,893,383,1,2.6525007635354996,-11.902971759337532
592,0,0,0,-inf,-inf
593,0,0,0,-inf,-inf
594,0,0,0,-inf,-inf
595,0,0,0,-inf,-inf
596,545,350,1,2.492855042219162,48.79732168424111
597,0,0,0,-inf,-inf
598,375,645,1,8.074241995811462,-20.113350587387814
599,0,0,0,-inf,-inf
600,0,0,0,-inf,-inf
601,375,645,1,8.07431897521019,-20.13187442289031
602,0,0,0,-inf,-inf
603,0,0,0,-inf,-inf
604,384,642,1,2.6925801038742065,-21.725921150513695
605,0,0,0,-inf,-inf
606,548,480,1,8.003880477976054,0.4762036387422384
607,0,0,0,-inf,-inf
608,0,0,0,-inf,-inf
609,0,0,0,-inf,-inf
610,0,0,0,-inf,-inf
611,466,442,1,2.2066084146499634,-17.2542614938342
612,0,0,0,-inf,-inf
613,376,645,1,8.070589363574982,-19.389184986317712
614,0,0,0,-inf,-inf
615,565,311,1,2.6000442504882812,85.93494882254265
616,565,318,1,2.5,90.0
617,565,326,1,2.5,90.0
618,564,335,1,2.914320021867752,60.6498006674295
619,564,339,1,2.636432468891144,56.4770432682568
620,563,332,1,3.0397999435663223,78.6900675264249
621,560,327,1,2.2869217693805695,76.95720011059169
622,558,323,1,2.530081409960985,4.232022832037352
623,558,317,1,2.4998390078544617,-37.52068196324364
624,0,0,0,-inf,-inf
625,375,645,1,8.066455006599426,-18.77150344417789
626,0,0,0,-inf,-inf
627,0,0,0,-inf,-inf
628,375,645,1,8.063390672206879,-18.384919340216157
629,0,0,0,-inf,-inf
630,0,0,0,-inf,-inf
631,375,645,1,8.066455006599426,-18.77150344417789
632,0,0,0,-inf,-inf
633,0,0,0,-inf,-inf
634,384,642,1,4.116455227136612,-17.290928880173798
635,0,0,0,-inf,-inf
636,0,0,0,-inf,-inf
637,375,645,1,8.072365701198578,-19.709979631162707
638,0,0,0,-inf,-inf
639,0,0,0,-inf,-inf
